Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-06-05,54.2,54.8,53.8,54.2,7272
2024-06-06,55,55.6,53.4,54.2,3002
2024-06-07,54,54,52.8,54,4222
2024-06-10,54,54,52.2,53,5768
2024-06-11,52.8,52.8,48.4,50.2,25616
2024-06-12,50.2,51,49.1,50,12803
2024-06-13,49.9,49.9,47.7,49,27425
2024-06-14,49.6,49.6,48.2,48.8,11624
2024-06-17,49.5,52.6,49,52.2,8299
2024-06-18,47.6,49,46,46.5,81531
2024-06-19,47,47.7,45.3,47,40933
2024-06-20,47,47,46,47,11794
2024-06-21,47.8,48.4,46.5,47,16355
2024-06-24,47,47.6,46.4,47,6369
2024-06-25,46.9,47.6,46.9,47.4,2980
2024-06-26,47.4,47.7,46.8,47.7,5276
2024-06-27,47.7,47.8,46.1,46.4,5839
2024-06-28,46,47.5,46,47.1,2107
2024-07-01,47.2,47.7,47.1,47.3,3733
2024-07-02,47.3,48,46.9,47.4,8137
2024-07-03,47.5,51,47.5,49.1,13601
2024-07-04,50,52,49.5,52,7759
2024-07-05,51.8,51.8,49.3,49.7,5546
2024-07-08,49.8,52.2,49.7,51.6,9999
2024-07-09,51.6,51.6,50.8,51.4,2507
2024-07-10,51.4,51.4,49.9,50.2,1394
2024-07-11,50.2,51.4,50,50.2,3654
2024-07-12,50.2,52,50.2,51.8,1347
2024-07-15,52,52,50,51,2458
2024-07-16,51,51,49.6,50.4,6270
2024-07-17,50.4,50.6,48.8,50,4081
2024-07-18,50.8,51.4,49.6,50.2,1232
2024-07-19,51,51,49.7,49.7,1252
2024-07-22,49.9,49.9,48.5,49,5662
2024-07-23,49.7,49.7,47,47.8,6394
2024-07-24,47.5,47.8,47.4,47.4,1924
2024-07-25,47.4,48,46.4,48,13959
2024-07-26,48,49.7,47.6,49.7,3493
2024-07-29,49.2,50.4,48.8,49.5,1290
2024-07-30,47.6,49.5,41.4,44.4,52714
2024-07-31,43,43.8,42.6,42.6,7361
2024-08-01,42.6,42.9,41,42,8279
2024-08-02,41.7,41.8,39.7,41.7,11376
2024-08-05,40.2,41,38.1,39.4,9108
2024-08-06,40,42,39,39,10586
2024-08-07,41,41,38.5,38.8,12979
2024-08-08,38.8,39.2,38.3,38.9,3303
2024-08-09,39.3,39.3,38.6,38.7,3123
2024-08-12,38.8,38.8,37.6,38.3,4890
2024-08-13,38.3,38.3,36.5,37,13061
2024-08-14,36.9,37.7,36.6,37,3739
2024-08-16,36.9,38.4,36.8,37.3,12512
2024-08-19,37.7,38.4,37.5,37.8,3714
2024-08-20,38,41.1,38,40.5,10388
2024-08-21,40.8,41.2,40.2,40.9,2796
2024-08-22,40.4,41,40.1,40.9,1986
2024-08-23,40.9,41,40.3,40.9,896
2024-08-26,41,41,40.1,40.2,1711
2024-08-27,40.9,41,40.2,40.8,2305
2024-08-28,40.8,40.8,39.1,39.1,2007
2024-08-29,40.4,40.4,39,40.4,1718
2024-08-30,40.4,40.4,38.8,40.4,3429
2024-09-02,39.9,40.4,38.6,40.4,2591
2024-09-03,41.3,43.4,41.3,42.2,21386
2024-09-04,42.3,42.9,40.8,41.8,6395
2024-09-05,42.2,42.5,40.8,41.2,5184
2024-09-06,42,42.2,41.2,41.3,614
2024-09-09,41.3,42.3,40.6,42.3,3856
2024-09-10,42.3,43.3,42.2,42.9,6518
2024-09-11,43,43,42.1,42.4,5865
2024-09-12,42.3,43,42.3,42.9,6208
2024-09-13,43,43.3,42.1,43.3,3590
2024-09-16,43.3,44.9,43.3,44.6,6913
2024-09-17,44.6,45.2,44,44.9,4538
2024-09-18,44.9,45.6,44.5,45.4,2266
2024-09-19,45.4,45.5,45,45.5,1924
2024-09-20,45.6,45.6,43.3,43.5,3552
2024-09-23,44.1,44.2,42.7,43.5,2100
2024-09-24,42.7,43,41.5,43,5578
2024-09-25,43.3,44.1,43.2,44,4371
2024-09-26,44,46.7,44,46.2,11099
2024-09-27,46.3,46.6,44.5,44.8,4616
2024-09-30,46.3,47.3,45.3,46.4,18535
2024-10-01,46.4,46.9,46.1,46.6,4266
2024-10-02,46.6,46.6,45.4,45.9,4122
2024-10-03,45.8,45.8,44.2,45.6,2868
2024-10-04,44.9,45,43.6,43.6,4663
